"slug","id","activo","curul","video_url","partido","partido_id","partidoP","provincia","provincia_id","tipo","nombre","nombre1","nombre2","genero","comision","twitter","video_texto","urlImagen","urlDetalle","csvDetalle"
"xavier-ivan-casanova-cepeda",350,1,11,"","Alianza PAIS",21,"Alianza PAIS","Pichincha",3,"Provincial","Xavier Iván Casanova Cepeda","Xavier Iván","Casanova Cepeda","Masculino","Biodiversidad y Recursos Naturales","","","/media/fotos_asambleistas/2.png","/composicion/asambleistas/xavier-ivan-casanova-cepeda/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/xavier-ivan-casanova-cepeda?formato=csv"
"ruben-alejandro-bustamante-monteros",194,1,12,"","Alianza PAIS-ARE",22,"Alianza PAIS","Loja",16,"Provincial","Rubén Alejandro Bustamante Monteros","Rubén Alejandro","Bustamante Monteros","Masculino","Desarrollo Económico, Productivo y la Microempresa","@rubn_bustamante","","/media/fotos_asambleistas/bustamante.png","/composicion/asambleistas/ruben-alejandro-bustamante-monteros/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/ruben-alejandro-bustamante-monteros?formato=csv"
"elizabeth-enriqueta-cabezas-guerrero",195,1,13,"","Independiente",12,"Independiente","Pichincha",3,"Provincial","Elizabeth Enriqueta Cabezas Guerrero","Elizabeth Enriqueta","Cabezas Guerrero","Femenino","Desarrollo Económico, Productivo y la Microempresa","@elizcabezas","","/media/fotos_asambleistas/cabezas.png","/composicion/asambleistas/elizabeth-enriqueta-cabezas-guerrero/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/elizabeth-enriqueta-cabezas-guerrero?formato=csv"
"karla-gabriela-cadena-velez",196,1,14,"","Independiente",12,"Independiente","Manabí",5,"Provincial","Karla Gabriela Cadena Vélez","Karla Gabriela","Cadena Vélez","Femenino","Justicia y Estructura del Estado","@KarlaCadena35","","/media/fotos_asambleistas/Karla_Cadena_IND.png","/composicion/asambleistas/karla-gabriela-cadena-velez/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/karla-gabriela-cadena-velez?formato=csv"
"hermuy-calle-verzozi",197,1,15,"","Otro movimiento",41,"Otro movimiento","Chimborazo",13,"Provincial","Hermuy Calle Verzozi","Hermuy","Calle Verzozi","Masculino","Régimen Económico y Tributario y su Regulación y Control","@HermuyCalle","","/media/fotos_asambleistas/calle_7uLivQr.png","/composicion/asambleistas/hermuy-calle-verzozi/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/hermuy-calle-verzozi?formato=csv"
"carlos-alberto-cambala-montece",198,1,16,"","Alianza PAIS",21,"Alianza PAIS","Santa Elena",7,"Provincial","Carlos Alberto Cambala Montece","Carlos Alberto","Cambala Montece","Masculino","Derechos Colectivos, Comunitarios y la Interculturalidad","@CarlosCambala_","","/media/fotos_asambleistas/cambala.png","/composicion/asambleistas/carlos-alberto-cambala-montece/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/carlos-alberto-cambala-montece?formato=csv"
"juan-jorge-cardenas-espinoza",199,1,17,"","Otro movimiento",41,"Otro movimiento","Cañar",1,"Provincial","Juan Jorge Cárdenas Espinoza","Juan Jorge","Cárdenas Espinoza","Masculino","Biodiversidad y Recursos Naturales","@callimanta","","/media/fotos_asambleistas/cardenas_f1uOLNA.png","/composicion/asambleistas/juan-jorge-cardenas-espinoza/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/juan-jorge-cardenas-espinoza?formato=csv"
"maria-jose-carrion-cevallos",200,1,18,"","Alianza PAIS",21,"Alianza PAIS","Pichincha",3,"Provincial","María José Carrión Cevallos","María José","Carrión Cevallos","Femenino","Derechos de los Trabajadores y la Seguridad Social","@majo_carrion","","/media/fotos_asambleistas/maria-josecarrion.png","/composicion/asambleistas/maria-jose-carrion-cevallos/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/maria-jose-carrion-cevallos?formato=csv"
"segundo-fausto-teran-sarzosa",328,1,19,"","Alianza PAIS",21,"Alianza PAIS","Pichincha",3,"Provincial","Segundo Fausto Terán Sarzosa","Segundo Fausto","Terán Sarzosa","Masculino","Derechos de los Trabajadores y la Seguridad Social","","","/media/fotos_asambleistas/teran-web_1.png","/composicion/asambleistas/segundo-fausto-teran-sarzosa/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/segundo-fausto-teran-sarzosa?formato=csv"
"johanna-elizabeth-cedeno-zambrano",203,1,20,"","Alianza PAIS",21,"Alianza PAIS","Santo Domingo de los Tsáchilas",17,"Provincial","Johanna Elizabeth Cedeño Zambrano","Johanna Elizabeth","Cedeño Zambrano","Femenino","Derechos de los Trabajadores y la Seguridad Social","@JohannaCedeno","","/media/fotos_asambleistas/cede%C3%B1o.png","/composicion/asambleistas/johanna-elizabeth-cedeno-zambrano/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/johanna-elizabeth-cedeno-zambrano?formato=csv"
"gabriela-pamela-cerda-miranda",204,1,21,"","Alianza PAIS",21,"Alianza PAIS","Napo",19,"Provincial","Gabriela Pamela Cerda Miranda","Gabriela Pamela","Cerda Miranda","Femenino","Biodiversidad y Recursos Naturales","@GabrielaCerdaEc","","/media/fotos_asambleistas/cerda.png","/composicion/asambleistas/gabriela-pamela-cerda-miranda/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/gabriela-pamela-cerda-miranda?formato=csv"
"jose-franklin-chala-cruz",207,1,22,"","Otro movimiento",41,"Otro movimiento","Imbabura",15,"Provincial","José Franklin Chalá Cruz","José Franklin","Chalá Cruz","Masculino","Derechos Colectivos, Comunitarios y la Interculturalidad","@JoseChala_AN","","/media/fotos_asambleistas/chala_HQuZUrC.png","/composicion/asambleistas/jose-franklin-chala-cruz/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/jose-franklin-chala-cruz?formato=csv"
"kharla-del-rocio-chavez-bajana",208,1,23,"","Independiente",12,"Independiente","Los Ríos",9,"Provincial","Kharla Del Rocío Chávez Bajaña","Kharla Del Rocío","Chávez Bajaña","Femenino","Justicia y Estructura del Estado","@kharlachavez","","/media/fotos_asambleistas/Kharla_Ch%C3%A1vez_IND.png","/composicion/asambleistas/kharla-del-rocio-chavez-bajana/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/kharla-del-rocio-chavez-bajana?formato=csv"
"jorge-wilber-corozo-ayovi",209,1,24,"","Alianza PAIS",21,"Alianza PAIS","Chimborazo",13,"Provincial","Jorge Wilber Corozo Ayoví","Jorge Wilber","Corozo Ayoví","Masculino","Derechos Colectivos, Comunitarios y la Interculturalidad","@JCorozo_Oficial","","/media/fotos_asambleistas/corozo.png","/composicion/asambleistas/jorge-wilber-corozo-ayovi/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/jorge-wilber-corozo-ayovi?formato=csv"
"liuba-elisa-cuesta-rios",210,1,25,"","Alianza PAIS",21,"Alianza PAIS","Guayas",6,"Provincial","Liuba Elisa Cuesta Ríos","Liuba Elisa","Cuesta Ríos","Femenino","Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero","@liuba_cuesta","","/media/fotos_asambleistas/cuesta_l.png","/composicion/asambleistas/liuba-elisa-cuesta-rios/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/liuba-elisa-cuesta-rios?formato=csv"
"esther-adelina-cuesta-santana",211,1,26,"","Otro movimiento",41,"Otro movimiento","Europa, Asia y Oceanía",28,"Represante Extranjero","Esther Adelina Cuesta Santana","Esther Adelina","Cuesta Santana","Femenino","Soberanía, Integración, Relaciones Internacionales y Seguridad Integral","@esthercuestasan","","/media/fotos_asambleistas/cuesta_veaxsm3.png","/composicion/asambleistas/esther-adelina-cuesta-santana/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/esther-adelina-cuesta-santana?formato=csv"
"michel-andres-doumet-chedraui",212,1,27,"","Alianza PAIS",21,"Alianza PAIS","Guayas",6,"Provincial","Michel Andrés Doumet Chedraui","Michel Andrés","Doumet Chedraui","Masculino","Derecho a la Salud","@MichelDoumet","","/media/fotos_asambleistas/doumet.png","/composicion/asambleistas/michel-andres-doumet-chedraui/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/michel-andres-doumet-chedraui?formato=csv"
"liliana-elizabeth-duran-aguilar",213,1,28,"","Otro movimiento",41,"Otro movimiento","Nacional",25,"Nacional","Liliana Elizabeth Durán Aguilar","Liliana Elizabeth","Durán Aguilar","Femenino","Biodiversidad y Recursos Naturales","@lduranaguilar","","/media/fotos_asambleistas/duran_Ew9LhZq.png","/composicion/asambleistas/liliana-elizabeth-duran-aguilar/","https://observatoriolegislativo.ec/informes/asambleistas/descarga/detalle-votos/liliana-elizabeth-duran-aguilar?formato=csv"
